cislo_licence,ev_cislo,druh,technologie,mw
110100230,23,elektrický,celkový,0.178
110100230,23,tepelný,celkový,0.249
110100230,23,elektrický,plynový a spalovací,0.178
110100230,23,tepelný,plynový a spalovací,0.249
110100230,24,elektrický,celkový,0.83
110100230,24,tepelný,celkový,1.019
110100230,24,elektrický,plynový a spalovací,0.83
110100230,24,tepelný,plynový a spalovací,1.019
110100230,25,elektrický,celkový,0.26
110100230,25,tepelný,celkový,0.371
110100230,25,elektrický,plynový a spalovací,0.26
110100230,25,tepelný,plynový a spalovací,0.371
110100230,26,elektrický,celkový,0.999
110100230,26,tepelný,celkový,1.066
110100230,26,elektrický,plynový a spalovací,0.999
110100230,26,tepelný,plynový a spalovací,1.066
110100230,27,elektrický,celkový,0.011
110100230,27,tepelný,celkový,0.025
110100230,27,elektrický,plynový a spalovací,0.011
110100230,27,tepelný,plynový a spalovací,0.025
110100248,1,elektrický,celkový,26.0
110100248,1,tepelný,celkový,87.2
110100248,1,elektrický,parní,26.0
110100248,1,tepelný,parní,87.2
110100257,1,elektrický,celkový,0.044
110100257,1,elektrický,vodní,0.044
110100264,1,elektrický,celkový,0.41
110100264,1,elektrický,vodní,0.41
110100264,2,elektrický,celkový,0.03
110100264,2,elektrický,sluneční,0.03
110100268,3,elektrický,celkový,0.03
110100268,3,elektrický,vodní,0.03
110100277,1,elektrický,celkový,0.314
110100277,1,tepelný,celkový,0.441
110100277,1,elektrický,plynový a spalovací,0.314
110100277,1,tepelný,plynový a spalovací,0.441
110100292,1,elektrický,celkový,0.4
110100292,1,tepelný,celkový,0.542
110100292,1,elektrický,plynový a spalovací,0.4
110100292,1,tepelný,plynový a spalovací,0.542
110100292,2,elektrický,celkový,0.5
110100292,2,tepelný,celkový,13.5
110100292,2,elektrický,parní,0.5
110100292,2,tepelný,parní,13.5
110100296,1,elektrický,celkový,0.037
110100296,1,elektrický,vodní,0.037
110100297,1,elektrický,celkový,0.055
110100297,1,elektrický,vodní,0.055
110100297,2,elektrický,celkový,0.044
