cislo_licence,pocet_zdroju
110806395,1
110806396,1
110806397,3
110806398,1
110806399,1
110806400,2
110806401,1
110806402,1
110806403,2
110806404,1
110806407,1
110806408,9
110806409,2
110806410,1
110806411,38
110806414,1
110806415,1
110806416,1
110806417,1
110806418,2
110806419,1
110806420,1
110806421,1
110806423,2
110806426,1
110806427,1
110806428,1
110806429,1
110806430,2
110806431,1
110806432,1
110806433,1
110806434,1
110806435,1
110806436,1
110806437,1
110806438,2
110806439,2
110806442,5
110806443,1
110806444,3
110806445,1
110806447,2
110806450,1
110806451,1
110806452,3
110806453,6
110806454,1
110806455,1
110806458,1
110806459,1
110806460,1
110806461,2
110806462,2
110806463,1
110806464,1
110806465,1
110806466,1
110806467,1
110806468,1
110806469,1
110806470,2
110806471,1
110806472,1
110806473,1
110806474,1
110806475,3
110806476,1
110806477,1
110806478,1
110806479,1
110806480,1
110806481,3
110806482,2
110806483,5
110806485,2
110806486,2
110806487,4
110806488,1
110806489,2
110806490,2
110806491,1
110806492,1
110806493,1
110806494,1
110806495,1
110806496,1
110806497,1
110806498,1
110806499,1
110806500,1
110806501,1
110806502,1
110806503,2
110806504,2
110806505,1
110806506,1
110806508,1
110806509,1
110806510,2
110806512,2
110806513,1
110806514,1
110806515,1
110806516,1
110806517,3
110806521,2
110806522,1
110806525,1
110806526,1
110806527,1
110806529,1
110806530,2
110806531,1
110806532,2
110806533,2
110806534,2
110806535,1
110806536,2
110806537,2
110806538,2
110806539,1
110806540,1
110806541,3
110806542,4
110806543,1
110806544,1
110806545,1
110806546,2
110806547,1
110806548,1
110806549,1
110806550,1
110806551,3
110806552,2
110806553,1
110806554,2
110806555,1
110806556,1
110806557,1
110806558,3
110806559,2
110806560,1
110806561,3
110806563,3
110806564,1
110806565,1
110806566,8
110806567,1
110806568,2
110806570,11
110806571,1
110806572,1
110806573,2
110806574,1
110806575,1
110806576,1
110806577,1
110806578,1
110806580,1
110806581,3
110806582,1
110806583,4
110806584,3
110806588,1
110806589,1
110806590,1
110806591,1
110806592,1
110806593,4
110806594,2
110806595,2
110806596,1
110806598,4
110806599,1
110806600,1
110806601,1
110806602,1
110806603,1
110806604,1
110806605,1
110806606,1
110806607,2
110806608,1
110806609,1
110806610,1
