cislo_licence,druh,technologie,mw
110100922,elektrický,vodní,0.055
110100923,elektrický,celkový,0.155
110100923,elektrický,vodní,0.155
110100924,elektrický,celkový,0.01
110100924,elektrický,vodní,0.01
110100939,elektrický,celkový,75.6
110100939,tepelný,celkový,332.0
110100939,elektrický,parní,75.6
110100939,tepelný,parní,332.0
110100949,elektrický,celkový,0.075
110100949,elektrický,vodní,0.075
110100952,elektrický,celkový,0.49
110100952,elektrický,vodní,0.49
110100958,elektrický,celkový,0.028
110100958,elektrický,vodní,0.028
110100959,elektrický,celkový,0.075
110100959,elektrický,vodní,0.075
110100960,elektrický,celkový,0.071
110100960,elektrický,sluneční,0.03
110100960,elektrický,vodní,0.041
110100962,elektrický,celkový,94.441
110100962,tepelný,celkový,246.609
110100962,elektrický,parní,88.0
110100962,tepelný,parní,240.0
110100962,elektrický,plynový a spalovací,6.0
110100962,tepelný,plynový a spalovací,6.609
110100962,elektrický,sluneční,0.441
110100969,elektrický,celkový,0.03
110100969,elektrický,vodní,0.03
110100970,elektrický,celkový,0.011
110100970,elektrický,vodní,0.011
110100971,elektrický,celkový,0.15
110100971,elektrický,vodní,0.15
110100973,elektrický,celkový,0.044
110100973,tepelný,celkový,0.44
110100973,elektrický,kogenerace,0.022
110100973,tepelný,kogenerace,0.4
110100973,elektrický,plynový a spalovací,0.022
110100973,tepelný,plynový a spalovací,0.04
110100975,elektrický,celkový,0.011
110100975,elektrický,vodní,0.011
110100976,elektrický,celkový,2.108
110100976,tepelný,celkový,2.889
110100976,elektrický,plynový a spalovací,2.108
110100976,tepelný,plynový a spalovací,2.889
110100987,elektrický,celkový,0.887
110100987,tepelný,celkový,1.247
110100987,elektrický,plynový a spalovací,0.893
110100987,tepelný,plynový a spalovací,1.293
110100991,elektrický,celkový,0.15
110100991,tepelný,celkový,0.223
110100991,elektrický,plynový a spalovací,0.15
110100991,tepelný,plynový a spalovací,0.223
110100995,elektrický,celkový,0.4
110100995,tepelný,celkový,0.6
110100995,elektrický,plynový a spalovací,0.4
110100995,tepelný,plynový a spalovací,0.6
110101006,elektrický,celkový,0.775
110101006,elektrický,vodní,0.775
110101011,elektrický,celkový,0.15
110101011,elektrický,vodní,0.15
110101012,elektrický,celkový,0.069
110101012,elektrický,vodní,0.069
110101018,elektrický,celkový,0.06
110101018,elektrický,vodní,0.06
110101019,elektrický,celkový,0.008
110101019,elektrický,vodní,0.008
110101020,elektrický,celkový,0.09
110101020,elektrický,vodní,0.09
110101021,elektrický,celkový,0.015
110101021,elektrický,vodní,0.015
110101022,elektrický,celkový,0.033
110101022,elektrický,vodní,0.033
110101023,elektrický,celkový,0.03
110101023,elektrický,vodní,0.03
110101024,elektrický,celkový,0.033
110101024,elektrický,vodní,0.033
110101026,elektrický,celkový,0.04
110101026,elektrický,vodní,0.04
110101027,elektrický,celkový,0.061
110101027,tepelný,celkový,0.045
110101027,elektrický,plynový a spalovací,0.022
110101027,tepelný,plynový a spalovací,0.045
110101027,elektrický,sluneční,0.039
110101050,elektrický,celkový,0.007
