cislo_licence,druh,technologie,mw
310101215,tepelný,teplovodní,6.51
310101217,tepelný,celkový,0.72
310101217,tepelný,teplovodní,0.72
310101228,tepelný,celkový,0.22
310101228,tepelný,teplovodní,0.22
310101231,tepelný,celkový,3.072
310101231,tepelný,teplovodní,3.072
310101244,tepelný,celkový,0.48
310101244,tepelný,teplovodní,0.48
310101250,tepelný,celkový,4.125
310101250,tepelný,teplovodní,4.125
310101255,elektrický,celkový,19.76
310101255,tepelný,celkový,196.74
310101255,tepelný,parní,196.74
310101255,tepelný,výkon kvet,180.74
310101284,tepelný,celkový,17.95
310101284,tepelný,parní,16.05
310101284,tepelný,teplovodní,1.9
310101286,tepelný,celkový,5.51
310101286,tepelný,teplovodní,5.51
310101311,elektrický,celkový,1.571
310101311,tepelný,celkový,16.98
310101311,tepelný,teplovodní,16.98
310101311,tepelný,výkon kvet,2.03
310101313,tepelný,celkový,13.526
310101313,tepelný,teplovodní,13.526
310101319,elektrický,celkový,0.162
310101319,tepelný,celkový,0.243
310101319,tepelný,teplovodní,0.243
310101319,tepelný,výkon kvet,0.243
310101325,elektrický,celkový,1.012
310101325,tepelný,celkový,21.534
310101325,tepelný,teplovodní,21.534
310101325,tepelný,výkon kvet,1.448
310101336,tepelný,celkový,26.6
310101336,tepelný,parní,26.6
310101341,tepelný,celkový,4.734
310101341,tepelný,teplovodní,4.734
310101346,elektrický,celkový,181.6
310101346,tepelný,celkový,1072.127
310101346,tepelný,parní,681.0
310101346,tepelný,horkovodní,101.84
310101346,tepelný,teplovodní,289.287
310101346,tepelný,výkon kvet,677.825
310101353,tepelný,celkový,20.151
310101353,tepelný,teplovodní,20.151
310101354,tepelný,celkový,1.02
310101354,tepelný,teplovodní,1.02
310101369,elektrický,celkový,0.074
310101369,tepelný,celkový,4.567
310101369,tepelný,teplovodní,4.567
310101369,tepelný,výkon kvet,0.062
310101381,tepelný,celkový,4.062
310101381,tepelný,teplovodní,4.062
310101399,tepelný,celkový,0.696
310101399,tepelný,teplovodní,0.696
310101414,elektrický,celkový,1.2
310101414,tepelný,celkový,22.744
310101414,tepelný,teplovodní,22.744
310101414,tepelný,výkon kvet,1.864
310101417,tepelný,celkový,11.235
310101417,tepelný,teplovodní,11.235
310101421,tepelný,celkový,21.17
310101421,tepelný,teplovodní,21.17
310101422,elektrický,celkový,0.314
310101422,tepelný,celkový,1.371
310101422,tepelný,teplovodní,1.371
310101422,tepelný,výkon kvet,0.441
310101426,tepelný,celkový,3.2
310101426,tepelný,teplovodní,3.2
310101436,tepelný,celkový,4.805
310101436,tepelný,teplovodní,4.805
310101438,elektrický,celkový,0.584
310101438,tepelný,celkový,54.284
310101438,tepelný,horkovodní,30.0
310101438,tepelný,teplovodní,24.284
310101452,tepelný,celkový,3.4
310101452,tepelný,teplovodní,3.4
310101471,tepelný,celkový,7.473
310101471,tepelný,teplovodní,7.473
310101474,tepelný,celkový,3.915
310101474,tepelný,teplovodní,3.915
310101497,elektrický,celkový,0.6
310101497,tepelný,celkový,2.1
310101497,tepelný,teplovodní,2.1
310101515,tepelný,celkový,21.14
310101515,tepelný,parní,7.63
310101515,tepelný,horkovodní,13.51
310101521,tepelný,celkový,4.8
310101521,tepelný,teplovodní,4.8
310101524,elektrický,celkový,19.55
310101524,tepelný,celkový,208.85
310101524,tepelný,parní,208.85
310101524,tepelný,výkon kvet,149.681
310101526,elektrický,celkový,2.13
310101526,tepelný,celkový,58.251
310101526,tepelný,parní,21.242
310101526,tepelný,horkovodní,35.284
310101526,tepelný,teplovodní,1.725
310101526,tepelný,výkon kvet,18.106
310101532,tepelný,celkový,4.8
310101532,tepelný,teplovodní,4.8
310101539,tepelný,celkový,7.05
310101539,tepelný,teplovodní,7.05
310101540,tepelný,celkový,10.812
310101540,tepelný,teplovodní,10.812
310101542,tepelný,celkový,1.526
310101542,tepelný,teplovodní,1.526
310101546,tepelný,celkový,9.22
310101546,tepelný,teplovodní,9.22
310101566,elektrický,celkový,1.536
310101566,tepelný,celkový,5.052
310101566,tepelný,teplovodní,5.052
310101566,tepelný,výkon kvet,2.012
310101567,tepelný,celkový,11.87
310101567,tepelný,parní,8.6
310101567,tepelný,teplovodní,3.27
310101571,elektrický,celkový,0.13
310101571,tepelný,celkový,0.2
310101571,tepelný,teplovodní,0.2
310101573,elektrický,celkový,0.56
310101573,tepelný,celkový,7.8
310101573,tepelný,teplovodní,7.8
310101581,tepelný,celkový,2.67
310101581,tepelný,teplovodní,2.67
310101586,elektrický,celkový,6.5
310101586,tepelný,celkový,86.787
310101586,tepelný,parní,84.33
310101586,tepelný,horkovodní,2.457
310101586,tepelný,výkon kvet,58.9
310101588,tepelný,celkový,0.064
310101588,tepelný,teplovodní,0.064
310101594,tepelný,celkový,5.768
310101594,tepelný,teplovodní,5.768
310101596,tepelný,celkový,29.09
310101596,tepelný,parní,0.4
310101596,tepelný,horkovodní,14.5
310101596,tepelný,teplovodní,14.19
310101596,tepelný,výkon kvet,0.3
310101602,elektrický,celkový,0.94
310101602,tepelný,celkový,6.59
310101602,tepelný,teplovodní,6.59
310101610,tepelný,celkový,0.48
310101610,tepelný,teplovodní,0.48
310101617,elektrický,celkový,0.38
310101617,tepelný,celkový,13.316
310101617,tepelný,teplovodní,13.316
310101617,tepelný,výkon kvet,0.586
310101630,tepelný,celkový,0.78
310101630,tepelný,teplovodní,0.78
310101634,tepelný,celkový,5.438
310101634,tepelný,teplovodní,5.438
310101638,elektrický,celkový,0.2
310101638,tepelný,celkový,0.275
310101638,tepelný,teplovodní,0.275
310101638,tepelný,výkon kvet,0.254
310101655,tepelný,celkový,7.319
310101655,tepelný,teplovodní,7.319
310101663,elektrický,celkový,1.82
310101663,tepelný,celkový,26.956
310101663,tepelný,teplovodní,26.956
310101663,tepelný,výkon kvet,2.541
310101674,tepelný,celkový,27.815
310101674,tepelný,parní,20.8
310101674,tepelný,teplovodní,7.015
310101681,tepelný,celkový,1.71
310101681,tepelný,teplovodní,1.71
310101688,tepelný,celkový,0.9
310101688,tepelný,teplovodní,0.9
310101709,tepelný,celkový,3.3
310101709,tepelný,teplovodní,3.3
310101721,tepelný,celkový,4.08
310101721,tepelný,teplovodní,4.08
310101723,tepelný,celkový,4.96
310101723,tepelný,teplovodní,4.96
310101729,elektrický,celkový,0.052
310101729,tepelný,celkový,5.492
310101729,tepelný,teplovodní,5.492
310101729,tepelný,výkon kvet,0.104
310101731,tepelný,celkový,1.9
310101731,tepelný,teplovodní,1.9
310101733,elektrický,celkový,0.14
310101733,tepelný,celkový,2.22
310101733,tepelný,teplovodní,2.22
310101733,tepelný,výkon kvet,0.21
310101737,tepelný,celkový,19.32
310101737,tepelný,horkovodní,10.31
310101737,tepelný,teplovodní,9.01
310101739,elektrický,celkový,0.022
310101739,tepelný,celkový,0.045
310101739,tepelný,teplovodní,0.045
310101739,tepelný,výkon kvet,0.045
310101752,elektrický,celkový,0.658
310101752,tepelný,celkový,31.149
